anio,sexo,porc_hogares,relacion_ing_canasta
2011,TOTAL,25.863587435169784,Ingresos menores a la Canasta Total
2011,TOTAL,74.13641256483022,Ingresos iguales o mayores a la Canasta Total
2011,m,26.00747556488981,Ingresos menores a la Canasta Total
2011,m,73.99252443511021,Ingresos iguales o mayores a la Canasta Total
2011,v,25.69934114570236,Ingresos menores a la Canasta Total
2011,v,74.30065885429764,Ingresos iguales o mayores a la Canasta Total
2012,TOTAL,28.009764035801464,Ingresos menores a la Canasta Total
2012,TOTAL,71.99023596419853,Ingresos iguales o mayores a la Canasta Total
2012,m,27.8350795950248,Ingresos menores a la Canasta Total
2012,m,72.1649204049752,Ingresos iguales o mayores a la Canasta Total
2012,v,28.211453866427306,Ingresos menores a la Canasta Total
2012,v,71.78854613357268,Ingresos iguales o mayores a la Canasta Total
2013,TOTAL,25.199566374297824,Ingresos menores a la Canasta Total
2013,TOTAL,74.80043362570218,Ingresos iguales o mayores a la Canasta Total
2013,m,24.767683357378353,Ingresos menores a la Canasta Total
2013,m,75.23231664262165,Ingresos iguales o mayores a la Canasta Total
2013,v,25.70108220223317,Ingresos menores a la Canasta Total
2013,v,74.2989177977668,Ingresos iguales o mayores a la Canasta Total
2014,TOTAL,26.998753853217025,Ingresos menores a la Canasta Total
2014,TOTAL,73.00124614678298,Ingresos iguales o mayores a la Canasta Total
2014,m,26.518477802989125,Ingresos menores a la Canasta Total
2014,m,73.48152219701088,Ingresos iguales o mayores a la Canasta Total
2014,v,27.54798674600729,Ingresos menores a la Canasta Total
2014,v,72.4520132539927,Ingresos iguales o mayores a la Canasta Total
2015,TOTAL,24.999181535439515,Ingresos menores a la Canasta Total
2015,TOTAL,75.00081846456048,Ingresos iguales o mayores a la Canasta Total
2015,m,25.280601318769232,Ingresos menores a la Canasta Total
2015,m,74.71939868123077,Ingresos iguales o mayores a la Canasta Total
2015,v,24.67798944752213,Ingresos menores a la Canasta Total
2015,v,75.32201055247788,Ingresos iguales o mayores a la Canasta Total
2016,TOTAL,28.00078451882845,Ingresos menores a la Canasta Total
2016,TOTAL,71.99921548117155,Ingresos iguales o mayores a la Canasta Total
2016,m,27.69805387002436,Ingresos menores a la Canasta Total
2016,m,72.30194612997565,Ingresos iguales o mayores a la Canasta Total
2016,v,28.345966309327782,Ingresos menores a la Canasta Total
2016,v,71.65403369067221,Ingresos iguales o mayores a la Canasta Total
