WKT,fid_1,Id,Nombre,Comuna,departamen,division,objeto,C_Comunal,C_Vecinal,Area
null,1.00000000000,1,Comisaria Vecinal 1B,1,Comisaria Comunal 1,1B,Zona de Comisaria Vecinal,CC-01,CV-01B,ESTE
null,2.00000000000,2,Comisaria Vecinal 1C,1,Comisaria Comunal 1,1C,Zona de Comisaria Vecinal,CC-01,CV-01C,ESTE
null,3.00000000000,3,Comisaria Vecinal 1D,1,Comisaria Comunal 1,1D,Zona de Comisaria Vecinal,CC-01,CV-01D,ESTE
null,4.00000000000,4,Comisaria Vecinal 1A,1,Comisaria Comunal 1,1A,Zona de Comisaria Vecinal,CC-01,CV-01A,ESTE
null,5.00000000000,27,Comisaria Vecinal 4D,4,Comisaria Comunal 4,4D,Zona de Comisaria Vecinal,CC-04,CV-04D,SUR
null,6.00000000000,28,Comisaria Vecinal 4C,4,Comisaria Comunal 4,4C,Zona de Comisaria Vecinal,CC-04,CV-04C,SUR
null,7.00000000000,9,Comisaria Vecinal 11A,11,Comisaria Comunal 11,11A,Zona de Comisaria Vecinal,CC-11,CV-11A,OESTE
null,8.00000000000,10,Comisaria Vecinal 11B,11,Comisaria Comunal 11,11B,Zona de Comisaria Vecinal,CC-11,CV-11B,OESTE
null,9.00000000000,20,Comisaria Vecinal 15C,15,Comisaria Comunal 15,15C,Zona de Comisaria Vecinal,CC-15,CV-15C,NORTE
null,10.00000000000,21,Comisaria Vecinal 15A,15,Comisaria Comunal 15,15A,Zona de Comisaria Vecinal,CC-15,CV-15A,NORTE
null,11.00000000000,11,Comisaria Vecinal 12B,12,Comisaria Comunal 12,12B,Zona de Comisaria Vecinal,CC-12,CV-12B,NORTE
null,12.00000000000,22,Comisaria Vecinal 15B,15,Comisaria Comunal 15,15B,Zona de Comisaria Vecinal,CC-15,CV-15B,NORTE
null,13.00000000000,33,Comisaria Vecinal 6A,6,Comisaria Comunal 6,6A,Zona de Comisaria Vecinal,CC-06,CV-06A,OESTE
