anio,porc_hogares,quintil_ing_familiar,sexo_jefe_hogar,tipo_hogar
2012,20.7,1° quintil,Mujer,TOTAL
2012,22.4,2° quintil,Mujer,TOTAL
2012,18.6,3° quintil,Mujer,TOTAL
2012,18.3,4° quintil,Mujer,TOTAL
2012,20.0,5° quintil,Mujer,TOTAL
2012,31.1,1° quintil,Mujer,Familiar
2012,22.1,2° quintil,Mujer,Familiar
2012,20.4,3° quintil,Mujer,Familiar
2012,14.3,4° quintil,Mujer,Familiar
2012,12.2,5° quintil,Mujer,Familiar
2012,9.9,1° quintil,Mujer,No familiar
2012,22.8,2° quintil,Mujer,No familiar
2012,16.7,3° quintil,Mujer,No familiar
2012,22.4,4° quintil,Mujer,No familiar
2012,28.1,5° quintil,Mujer,No familiar
2012,19.5,1° quintil,Varón,TOTAL
2012,19.5,2° quintil,Varón,TOTAL
2012,20.1,3° quintil,Varón,TOTAL
2012,20.3,4° quintil,Varón,TOTAL
2012,20.6,5° quintil,Varón,TOTAL
2012,22.3,1° quintil,Varón,Familiar
2012,20.4,2° quintil,Varón,Familiar
2012,21.8,3° quintil,Varón,Familiar
2012,19.5,4° quintil,Varón,Familiar
2012,16.0,5° quintil,Varón,Familiar
2012,9.7,1° quintil,Varón,No familiar
2012,16.3,2° quintil,Varón,No familiar
2012,14.3,3° quintil,Varón,No familiar
2012,23.1,4° quintil,Varón,No familiar
2012,36.6,5° quintil,Varón,No familiar
2013,20.9,1° quintil,Mujer,TOTAL
2013,22.1,2° quintil,Mujer,TOTAL
2013,17.3,3° quintil,Mujer,TOTAL
2013,21.9,4° quintil,Mujer,TOTAL
2013,17.9,5° quintil,Mujer,TOTAL
2013,30.1,1° quintil,Mujer,Familiar
2013,20.7,2° quintil,Mujer,Familiar
2013,19.1,3° quintil,Mujer,Familiar
2013,18.5,4° quintil,Mujer,Familiar
2013,11.6,5° quintil,Mujer,Familiar
2013,9.8,1° quintil,Mujer,No familiar
2013,23.7,2° quintil,Mujer,No familiar
2013,15.2,3° quintil,Mujer,No familiar
2013,25.9,4° quintil,Mujer,No familiar
2013,25.3,5° quintil,Mujer,No familiar
2013,18.9,1° quintil,Varón,TOTAL
2013,19.1,2° quintil,Varón,TOTAL
2013,18.3,3° quintil,Varón,TOTAL
2013,22.3,4° quintil,Varón,TOTAL
