Periodo;Año;Municipio;Tipo;Valor;;;;;;;;;
1/1/2014;2014;Total Provincia;Total de víctimas de homicidios dolosos;1495;;;;;;;;;
1/1/2014;2014;Total Provincia;Total de víctimas de lesiones dolosas;64150;;;;;;;;;
1/1/2014;2014;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;2882;;;;;;;;;
1/1/2014;2014;Total Provincia;Total de víctimas de violaciones;870;;;;;;;;;
1/1/2015;2015;Total Provincia;Total de víctimas de homicidios dolosos;1236;;;;;;;;;
1/1/2015;2015;Total Provincia;Total de víctimas de lesiones dolosas;60497;;;;;;;;;
1/1/2015;2015;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;4651;;;;;;;;;
1/1/2015;2015;Total Provincia;Total de víctimas de violaciones;747;;;;;;;;;
1/1/2016;2016;Total Provincia;Total de víctimas de homicidios dolosos;1147;;;;;;;;;
1/1/2016;2016;Total Provincia;Total de víctimas de lesiones dolosas;36284;;;;;;;;;
1/1/2016;2016;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;1308;;;;;;;;;
1/1/2016;2016;Total Provincia;Total de víctimas de violaciones;1183;;;;;;;;;
1/1/2017;2017;Total Provincia;Total de víctimas de homicidios dolosos;990;;;;;;;;;
1/1/2017;2017;Total Provincia;Total de víctimas de lesiones dolosas;37041;;;;;;;;;
1/1/2017;2017;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;1357;;;;;;;;;
1/1/2017;2017;Total Provincia;Total de víctimas de violaciones;1263;;;;;;;;;
1/1/2018;2018;Total Provincia;Total de víctimas de homicidios dolosos;992;;;;;;;;;
1/1/2018;2018;Total Provincia;Total de víctimas de lesiones dolosas;36304;;;;;;;;;
1/1/2018;2018;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;1578;;;;;;;;;
1/1/2018;2018;Total Provincia;Total de víctimas de violaciones;1346;;;;;;;;;
1/1/2019;2019;Total Provincia;Total de víctimas de homicidios dolosos;902;;;;;;;;;
1/1/2019;2019;Total Provincia;Total de víctimas de lesiones dolosas;38207;;;;;;;;;
1/1/2019;2019;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;2148;;;;;;;;;
1/1/2019;2019;Total Provincia;Total de víctimas de violaciones;1781;;;;;;;;;
1/1/2020;2020;Total Provincia;Total de víctimas de homicidios dolosos;931;;;;;;;;;
1/1/2020;2020;Total Provincia;Total de víctimas de lesiones dolosas;47641;;;;;;;;;
1/1/2020;2020;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;9229;;;;;;;;;
1/1/2020;2020;Total Provincia;Total de víctimas de violaciones;1918;;;;;;;;;
1/1/2021;2021;Total Provincia;Total de víctimas de homicidios dolosos;836;;;;;;;;;
1/1/2021;2021;Total Provincia;Total de víctimas de lesiones dolosas;62942;;;;;;;;;
1/1/2021;2021;Total Provincia;Total de víctimas de otros delitos contra la integridad sexual;17028;;;;;;;;;
1/1/2021;2021;Total Provincia;Total de víctimas de violaciones;2588;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de víctimas de lesiones dolosas;32;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;5;;;;;;;;;
1/1/2014;2014;Adolfo Alsina;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de víctimas de lesiones dolosas;31;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2015;2015;Adolfo Alsina;Total de víctimas de violaciones;-;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de víctimas de homicidios dolosos;1;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de víctimas de lesiones dolosas;27;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;3;;;;;;;;;
1/1/2016;2016;Adolfo Alsina;Total de víctimas de violaciones;1;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de víctimas de lesiones dolosas;15;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;2;;;;;;;;;
1/1/2017;2017;Adolfo Alsina;Total de víctimas de violaciones;4;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de víctimas de lesiones dolosas;16;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;-;;;;;;;;;
1/1/2018;2018;Adolfo Alsina;Total de víctimas de violaciones;2;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de víctimas de lesiones dolosas;27;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de víctimas de otros delitos contra la integridad sexual;6;;;;;;;;;
1/1/2019;2019;Adolfo Alsina;Total de víctimas de violaciones;3;;;;;;;;;
1/1/2020;2020;Adolfo Alsina;Total de víctimas de homicidios dolosos;-;;;;;;;;;
1/1/2020;2020;Adolfo Alsina;Total de víctimas de lesiones dolosas;46;;;;;;;;;
