"id","nombre_obra","tipo_de_obra","descripcion_obra","ente_contratante","localidad","partido","habitantes_afectados","fecha_contratacion","ente_financia","monto_presupuestado","porcentaje_obra"
"1.2","Red De Desagues Cloacales - Sector Burzaco II","Cloaca","152 conexiones domiciliarias, bocas de registro, camaras de desobtruccion y limpieza ","Municipalidad de Almirante Brown","BURZACO","Almirante Brown",608,"2010-07-07","ENOHSA",1802316.56,100
"1.3","Red De Desagües Cloacales - Sector Longchamps 1 - A","Cloaca","2720 metros de cañeria, 174 conexiones domiciliarias, 34 bocas de registro, ejecucion de empalme a red","Municipalidad de Almirante Brown","LONGCHAMPS","Almirante Brown",696,"2010-09-24","ENOHSA",1883000,100
"1.4","Redes De Agua Potable - Longchamps Módulo 3","Cloaca","6072mts de cañerias de 90mm y 160 mm","Municipalidad de Almirante Brown","LONGCHAMPS","Almirante Brown",6200,"2011-09-16","ENOHSA",1934000,64
"1.5","Colector Burzaco 1  y 3- Estacion De Bombeo Y Cañeria De Impulsion","Cloaca","800m cañeria PEAD, 460m cañeria de PVC, 9 bocas de registro, estacion de bombeo","Municipalidad de Almirante Brown","BURZACO","Almirante Brown",15000,"2010-12-30","ENOHSA",2294470.14,0
"1.6","CONDUCTO DE DESAGUE DE PLANTA DE TRATAMIENTO BARRIO RAYO DE SOL","Agua","Ejecución de la cañería de desagüe de la Planta de Tratamiento de Ósmosis Inversa Barrio Rayo de Sol, ubicada en el partido de Almirante Brown, y que descarga en el zanjón que da al Arroyo del Rey. Se instalarán 850 mts.  de cañería PVC clase 06 DN 250 mm.","","ALMIRANTE BROWN","Almirante Brown",0,"2017-03-15","AYSA - Fuente 1.1.",10626682.22,100
"1.7","COLECTOR LONGCHAMPS - ETAPA 1","Cloaca","Obra PLAN MÁS CERCA","AySA","LONGCHAMPS","Almirante Brown",0,"2014-12-24","AYSA - Fuente 1.1.",12381674.89,100
"1.8","Plan AySA A+T Almirante Brown Cierre de mallas San josé Zona 9 M4(1648B01)","Agua","Red Secundaria de Agua","AySA","Almirante Brown","Almirante Brown",1616,"2016-06-07","AYSA - Fuente 1.1.",3727033.71,100
"1.9","PLANTA POTABILIZADORA SISTEMA DE OSMOSIS INVERSA BARRIO RAYO DE SOL - OBRA CIVIL","Agua","El objetivo de las obras es la construcción de la Planta Potabilizadora Sistema de Osmosis Inversa Barrio Rayo de Sol, para cubrir un caudal de agua tratada de 107 m3/hr. El objetivo es la realización de las obras civiles complementarias para la instalación de una planta desnitrificadora por ósmosis inversa, a ubicar dentro del Partido de Almirante Brown. Las obras incluyen la totalidad de las tareas de relevamiento y verificación de las instalaciones existentes en el lugar de su emplazamiento e incluyen la totalidad de los trabajos detallados, especificaciones y partidas que integran la documentación de este concurso, incluyendo toda la mano de obra, materiales, equipos, herramientas y supervisión necesaria.","","RAYO DE SOL","Almirante Brown",0,"2017-03-15","AYSA - Fuente 1.1.",20491252.84,100
"1.10","PLANTA POTABILIZADORA SISTEMA DE OSMOSIS INVERSA BARRIO RAYO DE SOL - OBRA ELECTRO","Agua","El objetivo de las obras es la construcción de la Planta Potabilizadora Sistema de Osmosis Inversa Barrio Rayo de Sol, para cubrir un caudal de agua tratada de 107 m3/hr. El objetivo es la realización de las obras civiles complementarias para la instalación de una planta desnitrificadora por ósmosis inversa, a ubicar dentro del Partido de Almirante Brown. Las obras incluyen la totalidad de las tareas de relevamiento y verificación de las instalaciones existentes en el lugar de su emplazamiento e incluyen la totalidad de los trabajos detallados, especificaciones y partidas que integran la documentación de este concurso, incluyendo toda la mano de obra, materiales, equipos, herramientas y supervisión necesaria.","","RAYO DE SOL","Almirante Brown",0,"2017-03-15","AYSA - Fuente 1.1.",11458879.01,100
"1.11","SAN JERONIMO C+T(1648B75)","Cloaca","Red Secundaria de Cloaca","","ALMIRANTE BROWN","Almirante Brown",1024,"2016-07-11","AYSA - Fuente 1.1.",5333855.83,100
