Municipio,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25 DE MAYO,35.842,36.247,36.343,36.439,36.533,36.627,36.718,36.808,36.897,36.985,37.071,37.156,35.563,37.323,37.405,37.485
9 DE JULIO,47.722,48.217,48.283,48.347,48.413,48.475,48.539,48.601,48.661,48.721,48.780,48.838,52.607,48.952,49.008,49.063
ADOLFO ALSINA,17.072,17.249,17.276,17.303,17.330,17.356,17.382,17.407,17.433,17.458,17.483,17.507,17.552,17.556,17.580,17.603
ADOLFO GONZALES CHAVES,12.047,12.142,12.116,12.091,12.065,12.040,12.016,11.992,11.968,11.944,11.922,11.899,12.914,11.855,11.832,11.811
ALBERTI,10.654,10.773,10.799,10.824,10.850,10.875,10.900,10.924,10.948,10.972,10.995,11.018,12.982,11.064,11.085,11.107
ALMIRANTE BROWN,552.902,561.349,565.509,569.911,574.263,578.513,582.541,586.564,590.418,594.270,597.969,601.618,584.827,608.878,612.438,616.000
ARRECIFES,29.044,29.473,29.690,29.905,30.117,30.326,30.532,30.735,30.936,31.133,31.328,31.520,32.215,31.895,32.078,32.259
AVELLANEDA,342.677,346.847,347.924,348.999,350.080,351.165,352.246,353.273,354.314,355.352,356.392,357.440,367.554,359.550,360.583,361.532
AYACUCHO,20.337,20.588,20.671,20.752,20.832,20.911,20.990,21.067,21.143,21.218,21.291,21.364,21.977,21.506,21.577,21.645
AZUL,65.280,66.029,66.221,66.411,66.598,66.782,66.965,67.144,67.321,67.495,67.667,67.835,75.905,68.167,68.329,68.487
BAH A BLANCA,301.572,304.829,305.445,306.056,306.657,307.250,307.836,308.413,308.982,309.544,310.095,310.639,336.574,311.704,312.224,312.738
BALCARCE,43.823,44.349,44.506,44.662,44.816,44.966,45.116,45.262,45.408,45.551,45.691,45.829,48.982,46.102,46.234,46.365
BARADERO,32.761,33.325,33.677,34.027,34.371,34.710,35.045,35.375,35.701,36.022,36.338,36.649,40.002,37.258,37.556,37.849
BENITO JU REZ,20.239,20.440,20.450,20.461,20.472,20.482,20.493,20.503,20.513,20.523,20.532,20.542,22.292,20.561,20.570,20.579
BERAZATEGUI,324.244,330.277,334.458,338.647,342.682,346.658,350.578,354.447,358.262,362.021,365.771,369.294,358.712,376.431,379.921,383.458
BERISSO,88.470,89.877,90.675,91.466,92.246,93.015,93.773,94.522,95.259,95.987,96.701,97.406,100.930,98.786,99.461,100.126
BOL VAR,34.190,34.626,34.783,34.939,35.092,35.244,35.393,35.540,35.684,35.828,35.969,36.108,37.594,36.378,36.512,36.642
BRAGADO,41.336,41.756,41.801,41.846,41.891,41.935,41.978,42.020,42.062,42.103,42.144,42.184,46.504,42.262,42.301,42.338
BRANDSEN,26.367,26.960,27.436,27.906,28.371,28.828,29.279,29.725,30.164,30.597,31.023,31.442,32.448,32.263,32.665,33.061
CAMPANA,94.461,96.152,97.252,98.340,99.415,100.474,101.518,102.549,103.565,104.566,105.552,106.522,110.566,108.423,109.352,110.268
CA UELAS,51.892,53.205,54.342,55.468,56.579,57.673,58.752,59.817,60.867,61.903,62.921,63.923,70.684,65.888,66.849,67.795
CAPIT N SARMIENTO,14.494,14.767,14.957,15.144,15.329,15.512,15.692,15.869,16.044,16.216,16.387,16.553,15.965,16.881,17.041,17.198
CARLOS CASARES,22.237,22.544,22.680,22.815,22.947,23.078,23.206,23.334,23.459,23.583,23.704,23.824,23.100,24.059,24.173,24.286
CARLOS TEJEDOR,11.570,11.679,11.678,11.677,11.676,11.675,11.674,11.673,11.672,11.671,11.671,11.669,14.079,11.667,11.667,11.665
CARMEN DE ARECO,14.692,14.888,14.967,15.044,15.121,15.197,15.271,15.345,15.418,15.489,15.560,15.629,17.499,15.765,15.831,15.896
CASTELLI,8.205,8.312,8.354,8.396,8.437,8.478,8.517,8.556,8.595,8.633,8.671,8.708,9.594,8.781,8.816,8.851
CHACABUCO,48.703,49.431,49.806,50.179,50.546,50.907,51.263,51.615,51.962,52.304,52.640,52.971,52.731,53.620,53.937,54.249
CHASCOM S,42.277,37.250,37.622,37.991,38.356,38.714,39.068,39.417,39.760,40.100,40.434,40.762,42.452,41.406,41.720,42.030
CHIVILCOY,64.185,65.066,65.458,65.845,66.228,66.605,66.976,67.343,67.705,68.062,68.412,68.758,70.839,69.435,69.766,70.091
COL N,24.890,25.276,25.487,25.695,25.901,26.105,26.305,26.503,26.697,26.889,27.078,27.264,27.504,27.629,27.806,27.982
CORONEL DE MARINA L. ROSALES,62.152,62.796,62.880,62.962,63.044,63.124,63.203,63.281,63.358,63.433,63.508,63.581,67.503,63.725,63.795,63.864
CORONEL DORREGO,15.825,15.911,15.829,15.747,15.668,15.589,15.511,15.435,15.359,15.285,15.212,15.141,15.968,15.000,14.931,14.864
CORONEL PRINGLES,22.933,23.068,22.965,22.861,22.760,22.659,22.561,22.463,22.368,22.273,22.180,22.089,24.420,21.910,21.823,21.737
CORONEL SU REZ,38.320,38.812,38.988,39.163,39.336,39.506,39.673,39.838,40.001,40.162,40.320,40.474,42.110,40.778,40.927,41.073
DAIREAUX,16.889,17.138,17.263,17.387,17.508,17.629,17.747,17.863,17.979,18.093,18.204,18.314,18.422,18.530,18.635,18.738
DOLORES,27.042,27.406,27.559,27.711,27.860,28.007,28.152,28.296,28.438,28.576,28.714,28.849,32.032,29.113,29.242,29.370
ENSENADA,56.729,57.615,58.103,58.585,59.062,59.532,59.995,60.452,60.903,61.346,61.783,62.214,63.997,63.057,63.469,63.874
ESCOBAR,213.619,218.766,223.018,227.205,231.337,235.408,239.461,243.456,247.385,251.245,255.073,258.805,256.268,266.121,269.692,273.209
ESTEBAN ECHEVERR A,300.959,308.861,316.567,323.806,331.031,337.890,344.795,351.564,358.342,364.641,370.900,377.237,338.480,389.731,395.856,402.021
EXALTACI N DE LA CRUZ,29.805,30.591,31.288,31.978,32.659,33.330,33.991,34.643,35.287,35.922,36.545,37.161,40.159,38.364,38.953,39.532
EZEIZA,163.722,169.284,175.333,181.122,186.842,192.430,197.895,203.292,208.615,213.864,219.031,224.228,201.511,234.233,239.220,244.167
FLORENCIO VARELA,426.005,436.751,446.287,455.672,464.939,473.950,482.757,491.652,500.225,508.671,517.082,525.270,496.433,541.606,549.812,557.936
FLORENTINO AMEGHINO,8.869,9.007,9.082,9.155,9.228,9.300,9.371,9.441,9.510,9.578,9.645,9.711,10.790,9.839,9.903,9.964
GENERAL ALVARADO,39.594,40.293,40.744,41.191,41.632,42.066,42.494,42.917,43.334,43.744,44.149,44.546,45.526,45.326,45.707,46.083
GENERAL ALVEAR,11.130,11.260,11.286,11.311,11.336,11.361,11.385,11.410,11.433,11.456,11.480,11.503,13.031,11.546,11.568,11.590
GENERAL ARENALES,14.903,15.044,15.047,15.048,15.050,15.052,15.054,15.056,15.058,15.059,15.061,15.062,16.350,15.066,15.068,15.070
GENERAL BELGRANO,17.365,17.665,17.856,18.045,18.230,18.414,18.594,18.773,18.949,19.123,19.293,19.461,20.791,19.790,19.951,20.110
GENERAL GUIDO,2.816,2.847,2.852,2.857,2.862,2.867,2.872,2.877,2.882,2.887,2.892,2.897,3.174,2.906,2.910,2.915
GENERAL JUAN MADARIAGA,19.747,20.062,20.241,20.419,20.594,20.767,20.938,21.106,21.273,21.436,21.596,21.755,22.624,22.065,22.217,22.367
GENERAL LA MADRID,10.783,10.866,10.839,10.814,10.788,10.763,10.738,10.713,10.689,10.665,10.642,10.619,11.618,10.573,10.551,10.529
GENERAL LAS HERAS,14.889,15.215,15.472,15.727,15.978,16.226,16.469,16.710,16.948,17.182,17.412,17.639,18.022,18.083,18.300,18.514
GENERAL LAVALLE,3.700,3.792,3.870,3.947,4.023,4.099,4.172,4.246,4.318,4.389,4.459,4.528,4.870,4.663,4.729,4.794
GENERAL PAZ,11.202,11.343,11.392,11.441,11.489,11.536,11.583,11.629,11.674,11.719,11.763,11.806,14.207,11.891,11.932,11.973
