nombre,barrio
17 DE AGOSTO,Villa Pueyrredon
25 DE MAYO 1810,Mataderos
AGRONOMIA CENTRAL,Parque Chas
AGRUPACION SAN JORGE,Saavedra
AGRUPACION SUBATLÁNTICA DE EXPEDICIONES SUBMARINAS JULES ROSSI,Almagro
ALEMAN DE EQUITACION,Palermo
ALL BOYS DE SAAVEDRA,Saavedra
ALMAGRO ASOCIACION CIVIL,Almagro
ALMAGRO BOXING CLUB,Almagro
ALVEAR CLUB,Parque Avellaneda
AMERICA DEL SUD,Parque Avellaneda
APOLO MACHAIN SAAVEDRA,Saavedra
ARGENTINO,Mataderos
ARQUITECTURA,Agronomia
ASOCIACION ARGENTINA DE SORDOMUDOS,Palermo
ASOCIACION ATLETICA ARGENTINOS JUNIORS,Paternal
ASOCIACION ATLETICA ARGENTINOS JUNIORS,Villa Gral. Mitre
ASOCIACION ATLETICA ARGENTINOS JUNIORS,Villa Soldati
ASOCIACION ATLETICA PARQUE CHACABUCO,Parque Chacabuco
ASOCIACION ATLETICO PRIMERA JUNTA,Parque Chacabuco
ASOCIACION BANCARIA,San Nicolas
ASOCIACION CIRCULO ITALO ARGENTINO LIBER PIEMONT,Caballito
ASOCIACION CIVIL CLUB ATLETICO SOCIAL Y DEPORTIVO DEFENSORES DE OBRA SOCIAL FERROVIARIA DOSFE,Liniers
ASOCIACION CIVIL CLUB HIPICO BUENOS AIRES,Palermo
ASOCIACION CIVIL CLUB SOCIAL Y CULTURAL MIRAFLORES,Parque Chacabuco
"ASOCIACION CIVIL DE AYUDA, RECREATIVA Y POLIDEPORTIVA 17 DE NOVIEMBRE",Retiro
ASOCIACION CIVIL DE VECINOS FLORENTINO AMEGHINO (AVEFA),Boedo
ASOCIACIÓN CIVIL LA CULTURA DEL BARRIO,Villa Crespo
ASOCIACION CIVIL MANO A MANO,Floresta
ASOCIACION CIVIL OLIMPIA FUTBOL CLUB DE LA CIUDAD DE BUENOS AIRES,Monserrat
"ASOCIACION CIVIL SARANDI SOCIAL, CULTURAL Y DEPORTIVA",San Cristobal
ASOCIACION CIVIL SIN FINES DE LUCRO GOLF CLUB LAGOS DE PALERMO,Palermo
ASOCIACION CIVIL SOCIEDAD DE FOMENTO Y CULTURA MALVINAS ARGENTINAS,Parque Chacabuco
ASOCIACION CIVIL Y DEPORTIVA EL BARRIO,Boedo
