nombre,barrio
Comisaria Vecinal 1-D,SAN NICOLAS
Comisaria Vecinal 5-B,BOEDO
Comisaria Vecinal 6-A,CABALLITO
Comisaria Vecinal 7-B,CABALLITO
Comisaria Comunal 6,CABALLITO
Comisaria Comunal 1,RETIRO
Comisaria Vecinal 1-C (edificio anexo),CONSTITUCION
Comisaria Comunal 2,RECOLETA
Comisaria Vecinal 1-C,CONSTITUCION
Comisaria Vecinal 2-B,RECOLETA
Comisaria Vecinal 1-B (edificio anexo),SAN TELMO
Comisaria Vecinal 3-B,SAN CRISTOBAL
Comisaria Vecinal 14-A,PALERMO
Comisaria Vecinal 1-E,PUERTO MADERO
Comisaria Vecinal 4-C,BOCA
Comisaria Vecinal 4-D (edificio anexo),BARRACAS
Comisaria Vecinal 15-B,VILLA CRESPO
Comisaria Vecinal 1-A,SAN NICOLAS
Comisaria Vecinal 4-D,BARRACAS
Comisaria Vecinal 14-B,PALERMO
Comisaria Vecinal 13-C,BELGRANO
Comisaria Vecinal 4-B,NUEVA POMPEYA
Comisaria Vecinal 13-B,NUÑEZ
Comisaria Vecinal 8-B,VILLA SOLDATI
Comisaria Vecinal 12-C,VILLA URQUIZA
Comisaria Comunal 7,FLORES
Comisaria Vecinal 12-B,VILLA URQUIZA
Comisaria Vecinal 1-B,MONSERRAT
Comisaria Vecinal 9-B,PARQUE AVELLANEDA
Comisaria Comunal 11,VILLA GRAL. MITRE
Comisaria Comunal 9,MATADEROS
Comisaria Comunal 10,FLORESTA
Comisaria Vecinal 10-B,VERSALLES
Comisaria Vecinal 11-B,VILLA DEVOTO
Comisaria Vecinal 11-B (edificio anexo),VILLA PUEYRREDON
Comisaria Vecinal 8-A,VILLA LUGANO
Comisaria Vecinal 12-A,VILLA URQUIZA
Comisaria Comunal 3,BALVANERA
Comisaria Vecinal 7-C,FLORES
Comisaria Comunal 13,BELGRANO
Comisaria Comunal 8,VILLA LUGANO
Comisaria Comunal 14,PALERMO
Comisaria Vecinal 10-C,VILLA LURO
Comisaria Vecinal 3-A,BALVANERA
Comisaria Vecinal 3-A (edificio anexo),BALVANERA
Comisaria Comunal 5,ALMAGRO
Comisaria Comunal 12,SAAVEDRA
Comisaria Comunal 15,CHACARITA
Comisaria Comunal 4,PARQUE PATRICIOS
