subtipo,barrio,mes,anio,count
Robo total,PALERMO,AGOSTO,2023,618
Hurto total,SAN NICOLAS,DICIEMBRE,2022,603
Robo total,PALERMO,JULIO,2023,566
Hurto total,PALERMO,ABRIL,2023,564
Hurto total,PALERMO,DICIEMBRE,2022,563
Robo total,PALERMO,DICIEMBRE,2023,560
Robo total,BALVANERA,DICIEMBRE,2018,555
Hurto total,PALERMO,JULIO,2023,546
Robo total,PALERMO,JUNIO,2023,539
Hurto total,PALERMO,MARZO,2023,539
Hurto total,PALERMO,NOVIEMBRE,2023,531
Hurto total,PALERMO,OCTUBRE,2022,530
Hurto total,PALERMO,MAYO,2023,529
Hurto total,PALERMO,NOVIEMBRE,2022,520
Hurto total,PALERMO,SEPTIEMBRE,2023,514
Robo total,PALERMO,NOVIEMBRE,2016,500
Hurto total,PALERMO,DICIEMBRE,2023,490
Robo total,BALVANERA,MARZO,2019,490
Robo total,PALERMO,NOVIEMBRE,2023,486
Robo total,PALERMO,OCTUBRE,2022,482
Hurto total,PALERMO,AGOSTO,2023,479
Robo total,PALERMO,DICIEMBRE,2017,477
Robo total,PALERMO,SEPTIEMBRE,2023,476
Robo total,PALERMO,MARZO,2017,474
Hurto total,PALERMO,OCTUBRE,2023,472
Robo total,PALERMO,MAYO,2023,471
Hurto total,PALERMO,ABRIL,2022,470
Robo total,PALERMO,SEPTIEMBRE,2017,470
Robo total,PALERMO,ABRIL,2023,469
Robo total,PALERMO,OCTUBRE,2017,468
Robo total,PALERMO,AGOSTO,2016,462
Robo total,BALVANERA,JULIO,2023,455
Hurto total,PALERMO,JUNIO,2023,454
Robo total,PALERMO,OCTUBRE,2016,453
Robo total,PALERMO,NOVIEMBRE,2017,453
Robo total,PALERMO,MARZO,2023,452
Robo total,PALERMO,DICIEMBRE,2018,450
Hurto total,PALERMO,NOVIEMBRE,2019,449
Hurto total,PALERMO,SEPTIEMBRE,2022,449
Robo total,BALVANERA,NOVIEMBRE,2018,449
Robo total,BALVANERA,ENERO,2019,445
Robo total,PALERMO,JULIO,2016,444
Robo total,PALERMO,NOVIEMBRE,2019,441
Robo total,BALVANERA,OCTUBRE,2016,437
Hurto total,PALERMO,MARZO,2022,436
Robo total,BALVANERA,NOVIEMBRE,2022,435
Hurto total,PALERMO,JULIO,2022,435
Robo total,PALERMO,MARZO,2016,435
Robo total,PALERMO,OCTUBRE,2019,434
Robo total,PALERMO,AGOSTO,2017,434
Robo total,PALERMO,SEPTIEMBRE,2016,429
Robo total,PALERMO,JUNIO,2017,429
Robo total,PALERMO,MAYO,2018,428
Robo total,BALVANERA,NOVIEMBRE,2016,427
Robo total,PALERMO,SEPTIEMBRE,2022,427
Robo total,BALVANERA,JULIO,2019,426
Robo total,PALERMO,ABRIL,2017,426
Hurto total,PALERMO,FEBRERO,2023,424
Robo total,PALERMO,DICIEMBRE,2016,422
Robo total,PALERMO,OCTUBRE,2023,420
Robo total,PALERMO,MAYO,2017,420
Hurto total,PALERMO,DICIEMBRE,2019,419
Hurto total,PALERMO,AGOSTO,2022,419
Robo total,PALERMO,MARZO,2019,419
Robo total,PALERMO,JULIO,2017,419
Robo total,PALERMO,MARZO,2018,419
Robo total,PALERMO,ENERO,2019,418
Hurto total,PALERMO,ENERO,2023,418
Robo total,BALVANERA,NOVIEMBRE,2023,417
Robo total,PALERMO,NOVIEMBRE,2018,416
Robo total,PALERMO,SEPTIEMBRE,2018,415
Hurto total,PALERMO,DICIEMBRE,2021,415
Robo total,PALERMO,DICIEMBRE,2021,415
Robo total,PALERMO,DICIEMBRE,2019,414
Robo total,BALVANERA,DICIEMBRE,2016,413
Robo total,BALVANERA,DICIEMBRE,2023,413
Robo total,PALERMO,OCTUBRE,2018,412
Robo total,PALERMO,MARZO,2022,411
Robo total,BALVANERA,FEBRERO,2019,410
Robo total,BALVANERA,MAYO,2018,409
Robo total,BALVANERA,AGOSTO,2023,407
Robo total,PALERMO,MAYO,2022,406
Robo total,PALERMO,AGOSTO,2018,406
Robo total,BALVANERA,ABRIL,2016,405
Robo total,PALERMO,ENERO,2017,404
Robo total,PALERMO,ENERO,2020,404
Robo total,BALVANERA,ABRIL,2019,402
Robo total,BALVANERA,AGOSTO,2019,401
Hurto total,PALERMO,JUNIO,2022,401
Robo total,BALVANERA,OCTUBRE,2018,401
Hurto total,BALVANERA,AGOSTO,2019,400
Robo total,BALVANERA,OCTUBRE,2022,400
Robo total,BALVANERA,JULIO,2016,398
Hurto total,PALERMO,JULIO,2019,398
Robo total,PALERMO,JUNIO,2018,396
Robo total,BALVANERA,MAYO,2019,395
Hurto total,PALERMO,FEBRERO,2020,394
Robo total,PALERMO,ABRIL,2022,394
Robo total,BALVANERA,MAYO,2016,394
Hurto total,BALVANERA,JULIO,2019,393
Robo total,PALERMO,ABRIL,2016,392
Robo total,PALERMO,MAYO,2016,392
Robo total,BALVANERA,DICIEMBRE,2022,390
Robo total,PALERMO,AGOSTO,2019,390
Robo total,BALVANERA,JUNIO,2019,389
Robo total,BALVANERA,AGOSTO,2016,388
