nombre_est,barrio
Colegio de los Niños,PALERMO
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 08,BALVANERA
Centro Educativo de Nivel Secundario N° 16,BALVANERA
Esc. Primaria Común N° 24 Provincia de Catamarca,BALVANERA
Jardín de Infantes Nucleado B (EPCjs 24/02°) El Jardín del Abasto,BALVANERA
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 07,BALVANERA
Jardín de Infantes Común N° 03/05°,BARRACAS
Esc. Primaria p/Adultos N° 13 República Islámica de Irán,RECOLETA
Esc. Primaria Común N° 13 República Islámica de Irán,RECOLETA
Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,RETIRO
Inst. de Tiempo Libre y Recreación,RECOLETA
Liceo N° 01 José Figueroa Alcorta,RECOLETA
Colegio N° 03 Mariano Moreno,ALMAGRO
Colegio Limerick,FLORES
Instituto de Formación Técnica Superior N° 28,ALMAGRO
Colegio N° 15 Revolución de Mayo,RECOLETA
Colegio N° 06 Manuel Belgrano,RECOLETA
Colegio N° 05 Bartolomé Mitre,BALVANERA
Colegio N° 14 Juan José Paso,BALVANERA
Primera Infancia Luciérnagas,BALVANERA
Esc. Normal Superior N° 06 Vicente Lopez y Planes,PALERMO
Esc. de Comercio N° 08 Patricias Argentinas,ALMAGRO
Esc. de Comercio N° 25 Santiago de Liniers,ALMAGRO
Esc. Normal Superior N° 07 José María Torres,ALMAGRO
Primera Infancia EC Santiago de Liniers,ALMAGRO
Esc. Integral Interdisciplinaria N° 02,PALERMO
Escuela Argentina de Psicomotricidad - A.C.E.S,FLORESTA
Centro de Actividades Infantiles y Juveniles Club Almagro,ALMAGRO
Esc. Superior de Educación Artística en Arte Cerámico N° 01,ALMAGRO
Esc. Primaria Común N° 11 Provincia de Jujuy,ALMAGRO
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 10,ALMAGRO
Escuela Infantil N° 11/21°,VILLA RIACHUELO
Centro Educativo de Nivel Secundario N° 20,ALMAGRO
Escuela de la Joya,ALMAGRO
Centro Educativo de Nivel Secundario N° 48,BALVANERA
Centro de Formación Profesional N° 18 CCA,BALVANERA
Centro de Formación Profesional N° 29 Asociación de Educadores Porteños,ALMAGRO
Inst. Superior Facultar,BALVANERA
Primera Infancia Chile,MONTSERRAT
Esc. Primaria Común N° 12 Gral. Las Heras,PALERMO
Jardín Maternal N° 03/02°,RECOLETA
Escuela Metropolitana de Arte Dramático,BALVANERA
Centro Educativo Complementario de Idiomas Extranjeros N° 02,PALERMO
Centro de Formación Profesional N° 13 ASIMRA,SAN NICOLAS
Instituto de Formación Técnica Superior N° 18,PALERMO
Esc. Primaria Común N° 05 Ursula Llames de Lapuente,PALERMO
Escuela Infantil N° 02/03° Mane Bernardo,MONTSERRAT
Centro Educativo de Nivel Secundario N° 12,MONTSERRAT
Esc. Primaria Común N° 03 María Sanchez de Thompson,MONTSERRAT
Jardín de Infantes Nucleado D (EPCjc 03/03°),MONTSERRAT
Centro Educativo de Nivel Secundario N° 46,SAN NICOLAS
Centro Educativo de Nivel Secundario N° 43,MONTSERRAT
Esc. Primaria Común N° 07 Gral. Güemes,CONSTITUCION
Instituto de Formación Técnica Superior N° 09,MONTSERRAT
Jardín de Infantes Nucleado D (EPCjs 04/03°) [Sede],MONTSERRAT
Esc. Primaria Común N° 04 Cnel. Isidoro Suarez,MONTSERRAT
ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 08,MONTSERRAT
Esc. Primaria Común N° 05 Agustín Alvarez,CONSTITUCION
Jardín de Infantes Integral N° 01/03°,CONSTITUCION
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 13,CONSTITUCION
Esc. Primaria p/Adultos N° 09 Mariano Moreno,BALVANERA
Esc. Primaria Común N° 09 Mariano Moreno,BALVANERA
Jardín de Infantes Nucleado B (EPCjs 09/03°),BALVANERA
Jardín de Infantes Estrellita,SAAVEDRA
Escuela Nacional de Bibliotecarios,RECOLETA
Centro Educativo Complementario de Idiomas Extranjeros N° 03,CONSTITUCION
Esc. Primaria Común N° 11 Dr. Ricardo Gutiérrez,CONSTITUCION
Esc. Primaria Común N° 14 Gral. Mariano Necochea,MONTSERRAT
Centro Educativo de Nivel Secundario N° 50,BALVANERA
Esc. Primaria Común N° 15 Francisco Narciso de Laprida,BALVANERA
Jardín de Infantes Nucleado B (EPCjs 15/03°),BALVANERA
ESEA en Danza Ramicone Curso Vocacional de Folklore N° 22,BALVANERA
Esc. Primaria p/Adultos N° 16 Eustaquio Cárdenas,CONSTITUCION
Esc. Primaria Común N° 16 Eustaquio Cardenas,CONSTITUCION
Esc. Primaria Común N° 13 República de Chile,BOCA
Instituto de Formación Técnica Superior N° 34,SAN NICOLAS
Centro Educativo de Nivel Secundario N° 44,SAN CRISTOBAL
