barrio,ingresos_totales,anio
ALMAGRO,6000,2019
BOEDO,6000,2019
ALMAGRO,12000,2019
BOEDO,12000,2019
RECOLETA,0,2019
RECOLETA,100000,2019
RECOLETA,0,2019
FLORESTA,2500,2019
MONTE CASTRO,2500,2019
VELEZ SARSFIELD,2500,2019
VERSALLES,2500,2019
VILLA LURO,2500,2019
VILLA REAL,2500,2019
FLORESTA,44000,2019
MONTE CASTRO,44000,2019
VELEZ SARSFIELD,44000,2019
VERSALLES,44000,2019
VILLA LURO,44000,2019
VILLA REAL,44000,2019
FLORESTA,0,2019
MONTE CASTRO,0,2019
VELEZ SARSFIELD,0,2019
VERSALLES,0,2019
VILLA LURO,0,2019
VILLA REAL,0,2019
AGRONOMIA,5500,2019
CHACARITA,5500,2019
PARQUE CHAS,5500,2019
PATERNAL,5500,2019
VILLA CRESPO,5500,2019
VILLA ORTUZAR,5500,2019
AGRONOMIA,5500,2019
CHACARITA,5500,2019
PARQUE CHAS,5500,2019
PATERNAL,5500,2019
VILLA CRESPO,5500,2019
VILLA ORTUZAR,5500,2019
VILLA LUGANO,28000,2019
VILLA RIACHUELO,28000,2019
VILLA SOLDATI,28000,2019
VILLA LUGANO,25000,2019
VILLA RIACHUELO,25000,2019
VILLA SOLDATI,25000,2019
BELGRANO,13400,2019
COLEGIALES,13400,2019
NUÑEZ,13400,2019
BELGRANO,8000,2019
COLEGIALES,8000,2019
NUÑEZ,8000,2019
COGHLAN,20000,2019
SAAVEDRA,20000,2019
VILLA PUEYRREDON,20000,2019
VILLA URQUIZA,20000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
RECOLETA,10000,2019
RECOLETA,3000,2019
CONSTITUCION,11400,2019
MONSERRAT,11400,2019
PUERTO MADERO,11400,2019
RETIRO,11400,2019
SAN NICOLAS,11400,2019
SAN TELMO,11400,2019
CONSTITUCION,10000,2019
MONSERRAT,10000,2019
PUERTO MADERO,10000,2019
RETIRO,10000,2019
SAN NICOLAS,10000,2019
SAN TELMO,10000,2019
CONSTITUCION,8000,2019
MONSERRAT,8000,2019
PUERTO MADERO,8000,2019
RETIRO,8000,2019
SAN NICOLAS,8000,2019
SAN TELMO,8000,2019
CONSTITUCION,30000,2019
MONSERRAT,30000,2019
PUERTO MADERO,30000,2019
RETIRO,30000,2019
SAN NICOLAS,30000,2019
SAN TELMO,30000,2019
CONSTITUCION,10015,2019
MONSERRAT,10015,2019
PUERTO MADERO,10015,2019
RETIRO,10015,2019
SAN NICOLAS,10015,2019
SAN TELMO,10015,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
CABALLITO,22000,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
CONSTITUCION,0,2019
MONSERRAT,0,2019
PUERTO MADERO,0,2019
RETIRO,0,2019
SAN NICOLAS,0,2019
SAN TELMO,0,2019
FLORES,25500,2019
PARQUE CHACABUCO,25500,2019
RECOLETA,30000,2019
RECOLETA,0,2019
CONSTITUCION,24000,2019
MONSERRAT,24000,2019
PUERTO MADERO,24000,2019
RETIRO,24000,2019
SAN NICOLAS,24000,2019
SAN TELMO,24000,2019
CONSTITUCION,2000,2019
MONSERRAT,2000,2019
PUERTO MADERO,2000,2019
RETIRO,2000,2019
SAN NICOLAS,2000,2019
SAN TELMO,2000,2019
CONSTITUCION,5200,2019
MONSERRAT,5200,2019
PUERTO MADERO,5200,2019
RETIRO,5200,2019
SAN NICOLAS,5200,2019
SAN TELMO,5200,2019
CONSTITUCION,75000,2019
MONSERRAT,75000,2019
PUERTO MADERO,75000,2019
RETIRO,75000,2019
SAN NICOLAS,75000,2019
SAN TELMO,75000,2019
CABALLITO,25000,2019
CABALLITO,30000,2019
BALVANERA,4000,2019
SAN CRISTOBAL,4000,2019
COGHLAN,22000,2019
SAAVEDRA,22000,2019
VILLA PUEYRREDON,22000,2019
VILLA URQUIZA,22000,2019
PALERMO,25000,2019
PALERMO,30000,2019
FLORES,20000,2019
PARQUE CHACABUCO,20000,2019
BELGRANO,8000,2019
COLEGIALES,8000,2019
NUÑEZ,8000,2019
BELGRANO,13000,2019
COLEGIALES,13000,2019
NUÑEZ,13000,2019
PALERMO,32300,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
BALVANERA,35000,2019
SAN CRISTOBAL,35000,2019
BALVANERA,40000,2019
SAN CRISTOBAL,40000,2019
BALVANERA,30000,2019
SAN CRISTOBAL,30000,2019
CONSTITUCION,6000,2019
MONSERRAT,6000,2019
PUERTO MADERO,6000,2019
RETIRO,6000,2019
SAN NICOLAS,6000,2019
SAN TELMO,6000,2019
RECOLETA,30000,2019
RECOLETA,20000,2019
CONSTITUCION,40000,2019
MONSERRAT,40000,2019
PUERTO MADERO,40000,2019
RETIRO,40000,2019
SAN NICOLAS,40000,2019
SAN TELMO,40000,2019
RECOLETA,31000,2019
RECOLETA,25000,2019
FLORESTA,15000,2019
MONTE CASTRO,15000,2019
VELEZ SARSFIELD,15000,2019
VERSALLES,15000,2019
VILLA LURO,15000,2019
VILLA REAL,15000,2019
FLORESTA,49000,2019
MONTE CASTRO,49000,2019
VELEZ SARSFIELD,49000,2019
VERSALLES,49000,2019
VILLA LURO,49000,2019
VILLA REAL,49000,2019
FLORES,7400,2019
PARQUE CHACABUCO,7400,2019
FLORES,7000,2019
PARQUE CHACABUCO,7000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
BALVANERA,13000,2019
SAN CRISTOBAL,13000,2019
BALVANERA,0,2019
SAN CRISTOBAL,0,2019
AGRONOMIA,25000,2019
CHACARITA,25000,2019
PARQUE CHAS,25000,2019
PATERNAL,25000,2019
VILLA CRESPO,25000,2019
VILLA ORTUZAR,25000,2019
AGRONOMIA,300,2019
CHACARITA,300,2019
PARQUE CHAS,300,2019
PATERNAL,300,2019
VILLA CRESPO,300,2019
VILLA ORTUZAR,300,2019
CONSTITUCION,12000,2019
MONSERRAT,12000,2019
PUERTO MADERO,12000,2019
RETIRO,12000,2019
SAN NICOLAS,12000,2019
SAN TELMO,12000,2019
FLORES,10000,2019
PARQUE CHACABUCO,10000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
FLORES,19000,2019
PARQUE CHACABUCO,19000,2019
FLORES,0,2019
PARQUE CHACABUCO,0,2019
RECOLETA,28000,2019
RECOLETA,20000,2019
BALVANERA,6000,2019
SAN CRISTOBAL,6000,2019
ALMAGRO,0,2019
BOEDO,0,2019
ALMAGRO,28000,2019
BOEDO,28000,2019
ALMAGRO,35000,2019
BOEDO,35000,2019
PALERMO,40000,2019
BELGRANO,33000,2019
COLEGIALES,33000,2019
NUÑEZ,33000,2019
BELGRANO,10000,2019
COLEGIALES,10000,2019
NUÑEZ,10000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
BALVANERA,20000,2019
SAN CRISTOBAL,20000,2019
AGRONOMIA,25000,2019
CHACARITA,25000,2019
PARQUE CHAS,25000,2019
PATERNAL,25000,2019
VILLA CRESPO,25000,2019
VILLA ORTUZAR,25000,2019
